Código,Cliente,Fecha,Concepto,Método de pago,Cantidad,Banco,Número de cheque,Observaciones
20251124105800,2795 - Clinica Dental Coronel,2025-11-24,Factura 087958211825-153974,Efectivo,85.0,"","",""
20251124105752,2795 - Clinica Dental Coronel,2025-11-24,Factura 087958211825-153968,Efectivo,260.0,"","",""
20251124105743,2795 - Clinica Dental Coronel,2025-11-24,Factura 087958211825-153942,Efectivo,85.0,"","",""
20251124105735,2795 - Clinica Dental Coronel,2025-11-24,Factura 087958211825-153941,Efectivo,85.0,"","",""
20251124105646,6153 - Clinica Dental Paleo,2025-11-24,Factura 087958211825-153939,Efectivo,40.0,"","",""
20251124105633,6153 - Clinica Dental Paleo,2025-11-24,Factura 087958211825-153927,Efectivo,80.0,"","",""
20251124105613,1882 - Superdental,2025-11-24,Factura 087958211825-153977,Transferencia Bancaria,85.0,"","",""
20251119215922,6152 - Maxilo Dental,2025-11-19,Factura 087958211825-153976,Efectivo,100.0,"","",""
20251115153545,3297 - Horizon Dental Group,2025-11-15,"",Efectivo,320.0,"","",""
20251115133015,2112 - Clinica Dental Tijuana,2025-11-15,"",Cheque,162.0,"","",""
20251115132312,7399 - Dental Angel Smile,2025-11-15,Factura 087958211825-153970,Efectivo,85.0,"","",""
20251114173049,4505 - Clinica Dental Integral,2025-11-14,Factura 087958211825-153975,Transferencia Bancaria,162.0,"","",""
20251114173039,4505 - Clinica Dental Integral,2025-11-14,Factura 087958211825-153963,Transferencia Bancaria,101.0,"","",""
20251113175255,800 - Zenzao Smile Studio,2025-11-13,Factura 087958211825-153962,Efectivo,75.0,"","",""
20251113175243,800 - Zenzao Smile Studio,2025-11-13,Factura 087958211825-153950,Efectivo,235.0,"","",""
20251113131324,6153 - Clinica Dental Paleo,2025-11-13,Factura R-00035,Efectivo,150.0,"","",""
20251112100623,4482 - Dental Bellas Artes,2025-11-12,Factura 087958211825-153966,Efectivo,160.0,"","",""
20251110144534,1931 - Hola Dental,2025-11-10,"",Efectivo,250.0,"","",""
20251107184622,7399 - Dental Angel Smile,2025-11-07,Factura 087958211825-153967,Efectivo,510.0,"","",""
20251106175159,2795 - Clinica Dental Coronel,2025-11-06,"",Efectivo,1200.0,"","",""
20251106175129,2543 - Real Dental Tijuana,2025-11-06,Factura 087958211825-153933,Efectivo,150.0,"","",""
20251106175105,6901 - Dental Studio,2025-11-06,Factura 087958211825-153953,Efectivo,150.0,"","",""
20251106175044,4505 - Clinica Dental Integral,2025-11-06,Factura 087958211825-153945,Efectivo,40.5,"","",""
20251106175036,4505 - Clinica Dental Integral,2025-11-06,Factura 087958211825-153938,Efectivo,150.0,"","",""
20251106175023,4505 - Clinica Dental Integral,2025-11-06,Factura 087958211825-153937,Transferencia Bancaria,525.0,"","",""
20251106174332,7399 - Dental Angel Smile,2025-11-06,Factura 087958211825-153961,Efectivo,85.0,"","",""
20251106174325,7399 - Dental Angel Smile,2025-11-06,Factura 087958211825-153957,Efectivo,85.0,"","",""
20251103121035,-,2025-11-03,Factura 888160,Transferencia Bancaria,151.2,"","",""
20251103120851,8832 - Orion Dental,2025-11-03,Factura 087958211825-153955,Efectivo,225.0,"","",""
20251028173130,3297 - Horizon Dental Group,2025-10-28,"",Efectivo,300.0,"","",""
20251027163916,2795 - Clinica Dental Coronel,2025-10-27,Factura 087958211825-153930,Efectivo,450.0,"","",""
20251025141654,1882 - Superdental,2025-10-25,"",Transferencia Bancaria,90.0,"","",""
20251025141527,2112 - Clinica Dental Tijuana,2025-10-25,"",Cheque,405.0,"","",""
20251025141447,4505 - Clinica Dental Integral,2025-10-25,Factura 087958211825-153928,Efectivo,336.0,"","",""
20251025114018,7399 - Dental Angel Smile,2025-10-25,Factura 087958211825-153935,Efectivo,510.0,"","",""
20251025113952,1882 - Superdental,2025-10-25,"",Transferencia Bancaria,20.0,"","",""
20251021120928,2795 - Clinica Dental Coronel,2025-10-21,Factura 087958211825-153915,Transferencia Bancaria,85.0,"","",""
20251021120856,2112 - Clinica Dental Tijuana,2025-10-21,Factura 087958211825-153905,Cheque,162.0,"","",""
20251020111247,2795 - Clinica Dental Coronel,2025-10-20,Factura 087958211825-153914,Transferencia Bancaria,90.0,"","",""
20251020111235,2795 - Clinica Dental Coronel,2025-10-20,Factura 087958211825-153913,Transferencia Bancaria,45.0,"","",""
20251018105937,3297 - Horizon Dental Group,2025-10-18,"",Efectivo,260.0,"","",""
20251018105421,4505 - Clinica Dental Integral,2025-10-18,Factura 087958211825-153918,Efectivo,220.0,"","",""
20251017183604,6152 - Maxilo Dental,2025-10-17,Factura 087958211825-153917,Efectivo,75.0,"","",""
20251017183556,6152 - Maxilo Dental,2025-10-17,Factura 087958211825-153908,Efectivo,160.0,"","",""
20251017183548,6152 - Maxilo Dental,2025-10-17,Factura 087958211825-153907,Efectivo,85.0,"","",""
20251017183535,6152 - Maxilo Dental,2025-10-17,Factura 087958211825-153906,Efectivo,85.0,"","",""
20251016145803,1931 - Hola Dental,2025-10-16,Factura 087958211825-153900,Efectivo,170.0,"","",""
20251016145753,1931 - Hola Dental,2025-10-16,Factura 087958211825-153899,Efectivo,90.0,"","",""
20251016145746,1931 - Hola Dental,2025-10-16,Factura 087958211825-153886,Efectivo,160.0,"","",""
20251014155614,3297 - Horizon Dental Group,2025-10-14,Factura 087958211825-153925,Efectivo,170.0,"","",""
20251013150901,800 - Zenzao Smile Studio,2025-10-13,Factura 087958211825-153920,Efectivo,225.0,"","",""
20251013120726,2543 - Real Dental Tijuana,2025-10-13,Factura 087958211825-153924,Efectivo,75.0,"","",""
20251013120714,2543 - Real Dental Tijuana,2025-10-13,Factura 087958211825-153893,Efectivo,90.0,"","",""
20251013120706,2543 - Real Dental Tijuana,2025-10-13,Factura 087958211825-153887,Efectivo,75.0,"","",""
20251010201114,7399 - Dental Angel Smile,2025-10-10,Factura 087958211825-153895,Efectivo,595.0,"","",""
20251010200852,6901 - Dental Studio,2025-10-10,Factura 087958211825-153911,Transferencia Bancaria,150.0,"","",""
20251010200839,4505 - Clinica Dental Integral,2025-10-10,Factura 087958211825-153916,Transferencia Bancaria,86.4,"","",""
20251010200831,4505 - Clinica Dental Integral,2025-10-10,Factura 087958211825-153910,Transferencia Bancaria,162.0,"","",""
20251010200821,4505 - Clinica Dental Integral,2025-10-10,Factura 087958211825-153909,Transferencia Bancaria,81.0,"","",""
20251010200813,4505 - Clinica Dental Integral,2025-10-10,Factura 087958211825-153902,Transferencia Bancaria,81.0,"","",""
20251009084414,2795 - Clinica Dental Coronel,2025-10-09,Factura 087958211825-153904,Transferencia Bancaria,85.0,"","",""
20251007144813,4505 - Clinica Dental Integral,2025-10-07,Factura 087958211825-153912,Transferencia Bancaria,25.0,"","",""
20251006182720,2112 - Clinica Dental Tijuana,2025-10-06,"",Cheque,448.16,Santander,43828986,""
20251006182245,2795 - Clinica Dental Coronel,2025-10-06,Factura 087958211825-153896,Transferencia Bancaria,85.0,"","",""
20251006182201,6152 - Maxilo Dental,2025-10-06,Factura 087958211825-153901,Efectivo,1000.0,"","",""
20251004085258,6901 - Dental Studio,2025-10-04,Factura 087958211825-153888,Efectivo,192.0,"","",""
