Número factura,Cliente,Código,Fecha,Vencimiento,Nombre,RFC,Calle,Colonia,Localidad,Estado,CP,País,Centro,Importe,Retención,Descuento,Base imponible,Importe IVA,Importe retención,Total,Cobrado,Forma de pago
087958211825-506519,Zenzao Smile Studio,800,19/02/2026,27/02/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,135.0,0.0,0.0,135.0,10.8,-0.0,145.8,145.8,
087958211825-506518,Orion Dental,8832,18/02/2026,27/02/2026,Orion Dental,-,Calle Emiliano Zapata 7727-int 5,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
R-00040,GDIA,9999,14/02/2026,"",GDIA,-,Diaz Miron 7585,Zona Centro,Tijuana,Baja California,22000,México,-,100.0,0.0,0.0,100.0,0.0,-0.0,100.0,0.0,
R-00039,GDIA,9999,14/02/2026,"",GDIA,-,Diaz Miron 7585,Zona Centro,Tijuana,Baja California,22000,México,-,50.0,0.0,0.0,50.0,0.0,-0.0,50.0,0.0,
R-00038,GDIA,9999,14/02/2026,"",GDIA,-,Diaz Miron 7585,Zona Centro,Tijuana,Baja California,22000,México,-,50.0,0.0,0.0,50.0,0.0,-0.0,50.0,0.0,
087958211825-506516,Dental Angel Smile,7399,12/02/2026,20/02/2026,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506515,Clinica Dental Integral,4505,12/02/2026,20/02/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-506514,Regenerando Sonrisas,803,10/02/2026,20/02/2026,Regenerando Sonrisas,-,Alamo 19-Local 3,Libertad,Tijuana,Baja California,22400,México,-,37.5,0.0,0.0,37.5,3.0,-0.0,40.5,40.5,
087958211825-506513,Superdental,1882,10/02/2026,20/02/2026,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,135.0,0.0,0.0,135.0,0.0,-0.0,135.0,135.0,
087958211825-506512,Clinica Dental Integral,4505,09/02/2026,20/02/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,160.0,0.0,0.0,160.0,0.0,-0.0,160.0,160.0,
087958211825-506509,Dental Studio,6901,09/02/2026,20/02/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506508,Dental Studio,6901,09/02/2026,20/02/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506507,Maxilo Dental,6152,09/02/2026,20/02/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506506,Superdental,1882,07/02/2026,07/02/2026,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,10.0,0.0,0.0,10.0,0.0,-0.0,10.0,10.0,
087958211825-506505,Clinica Dental Paleo,6153,07/02/2026,13/02/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,980.0,0.0,0.0,980.0,0.0,-0.0,980.0,980.0,
087958211825-506503,Clinica Dental Integral,4505,06/02/2026,13/02/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506502,Maxilo Dental,6152,05/02/2026,13/02/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-506501,Clinica Dental Paleo,6153,04/02/2026,13/02/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,40.0,0.0,0.0,40.0,0.0,-0.0,40.0,40.0,
087958211825-506500,Clinica Dental Tijuana,2112,04/02/2026,13/02/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
087958211825-506499,Clinica Dental Paleo,6153,04/02/2026,13/02/2026,Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,70.0,0.0,0.0,70.0,0.0,-0.0,70.0,70.0,
087958211825-506498,Clinica Dental Integral,4505,03/02/2026,13/02/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-506497,Clinica Dental Integral,4505,03/02/2026,13/02/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
087958211825-506496,Superdental,1882,03/02/2026,13/02/2026,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,40.0,0.0,0.0,40.0,0.0,-0.0,40.0,40.0,
087958211825-506495,Dental Studio,6901,03/02/2026,13/02/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
